Trajectories
50
,,Facetracking Jonas:LEyebrow1,,,Facetracking Jonas:REyebrow1,,,Facetracking Jonas:Nosetip1,,,Facetracking Jonas:LMoothside1,,,Facetracking Jonas:RMoothside1,,,Facetracking Jonas:Chin1,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
118,0,294.714,-426.312,1242.56,385.536,-355.383,1252.31,302.051,-342.437,1206.04,,,,,,,318.22,-358.154,1130.86
119,0,294.706,-426.33,1242.55,385.557,-355.405,1252.3,301.996,-342.453,1206.02,,,,,,,318.15,-358.151,1130.92
120,0,294.675,-426.299,1242.53,385.564,-355.414,1252.28,302.002,-342.402,1205.96,,,,,,,318.211,-358.144,1130.81
121,0,294.649,-426.289,1242.49,385.546,-355.438,1252.26,302.054,-342.438,1205.83,,,,,,,318.286,-358.183,1130.77
122,0,294.581,-426.303,1242.46,385.559,-355.42,1252.24,301.946,-342.393,1205.83,,,,,,,318.29,-358.188,1130.74
123,0,294.572,-426.33,1242.46,385.567,-355.43,1252.22,301.957,-342.431,1205.79,,,,,,,318.364,-358.252,1130.7
124,0,294.691,-426.288,1242.4,385.579,-355.446,1252.25,301.952,-342.461,1205.85,,,,,,,318.29,-358.257,1130.67
125,0,294.667,-426.312,1242.44,385.573,-355.47,1252.27,302.132,-342.474,1205.7,,,,,,,318.288,-358.228,1130.7
126,0,294.718,-426.282,1242.43,385.599,-355.487,1252.27,302.056,-342.43,1205.83,,,,,,,318.357,-358.261,1130.71
127,0,294.834,-426.24,1242.46,385.636,-355.519,1252.24,302.256,-342.464,1205.78,,,,,,,318.402,-358.244,1130.73
128,0,294.825,-426.24,1242.52,385.681,-355.56,1252.28,302.276,-342.469,1205.86,,,,,,,318.438,-358.229,1130.79
129,0,294.824,-426.272,1242.6,385.723,-355.597,1252.31,302.29,-342.454,1205.89,,,,,,,318.469,-358.211,1130.84
130,0,294.965,-426.181,1242.57,385.788,-355.611,1252.35,302.232,-342.388,1206.04,,,,,,,318.497,-358.166,1130.9
131,0,294.952,-426.191,1242.57,385.861,-355.595,1252.39,302.385,-342.459,1205.97,,,,,,,318.493,-358.177,1130.91
132,0,294.994,-426.188,1242.5,385.875,-355.599,1252.37,302.399,-342.454,1206,,,,,,,318.452,-358.121,1130.91
133,0,294.953,-426.2,1242.5,385.813,-355.62,1252.29,302.247,-342.416,1206.09,,,,,,,318.431,-358.059,1130.86
134,0,294.927,-426.141,1242.43,385.809,-355.545,1252.27,302.234,-342.342,1206.06,,,,,,,318.306,-357.958,1130.85
135,0,294.906,-426.05,1242.42,385.785,-355.503,1252.23,302.382,-342.303,1205.87,,,,,,,318.157,-357.934,1130.86
136,0,294.909,-425.961,1242.4,385.74,-355.47,1252.14,302.372,-342.167,1205.81,,,,,,,318.2,-357.903,1130.67
137,0,294.914,-425.885,1242.36,385.757,-355.38,1252.09,302.4,-342.124,1205.72,,,,,,,318.332,-357.997,1130.72
138,0,294.889,-425.872,1242.44,385.817,-355.355,1252.1,302.423,-342.078,1205.69,,,,,,,318.363,-358.074,1130.68
139,0,294.901,-425.839,1242.51,385.859,-355.295,1252.07,302.483,-342.051,1205.67,,,,,,,318.36,-358.147,1130.68
140,0,294.896,-425.814,1242.49,385.876,-355.291,1252.15,302.503,-342.008,1205.68,,,,,,,318.431,-358.066,1130.7
141,0,294.918,-425.805,1242.5,385.855,-355.347,1252.21,302.544,-341.967,1205.73,,,,,,,318.452,-357.979,1130.77
142,0,294.924,-425.826,1242.54,385.897,-355.341,1252.27,302.353,-342.156,1205.9,,,,,,,318.495,-357.968,1130.8
143,0,294.926,-425.844,1242.52,385.879,-355.35,1252.28,302.382,-342.186,1205.9,,,,,,,318.447,-357.971,1130.79
144,0,294.917,-425.85,1242.51,385.898,-355.34,1252.33,302.345,-342.187,1205.94,,,,,,,318.468,-357.914,1130.83
